iter	Passed	Remaining
899	2286	254
900	2288	251
901	2290	248
902	2293	246
903	2295	243
904	2297	241
905	2300	238
906	2302	236
907	2304	233
908	2307	230
909	2309	228
910	2311	225
911	2313	223
912	2316	220
913	2318	218
914	2320	215
915	2322	213
916	2324	210
917	2327	207
918	2329	205
919	2331	202
920	2333	200
921	2336	197
922	2338	195
923	2340	192
924	2343	189
925	2345	187
926	2347	184
927	2349	182
928	2352	179
929	2354	177
930	2356	174
931	2358	172
932	2360	169
933	2363	166
934	2365	164
935	2367	161
936	2370	159
937	2372	156
938	2374	154
939	2377	151
940	2380	149
941	2382	146
942	2384	144
943	2387	141
944	2389	139
945	2391	136
946	2394	133
947	2396	131
948	2398	128
949	2401	126
950	2403	123
951	2406	121
952	2408	118
953	2410	116
954	2412	113
955	2415	111
956	2417	108
957	2419	106
958	2421	103
959	2423	100
960	2426	98
961	2428	95
962	2430	93
963	2432	90
964	2435	88
965	2437	85
966	2439	83
967	2442	80
968	2444	78
969	2446	75
970	2448	73
971	2451	70
972	2453	68
973	2455	65
974	2457	63
975	2460	60
976	2462	57
977	2464	55
978	2467	52
979	2469	50
980	2471	47
981	2473	45
982	2475	42
983	2478	40
984	2480	37
985	2482	35
986	2485	32
987	2487	30
988	2489	27
989	2491	25
990	2494	22
991	2496	20
992	2498	17
993	2501	15
994	2503	12
995	2505	10
996	2507	7
997	2509	5
998	2512	2
999	2514	0
